"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4bb853","PGT1913 ","Turkey","1650613379","1650613379","31.572","37.0356","11574.78","False","212.23","320.21","0.33","","11833.86","2565","False","0","4"
"4bb864","PGT703  ","Turkey","1650613278","1650613281","29.2679","40.8834","213.36","False","68.57","64.2","-3.9","","281.94","","False","0","0"
"4bb862","PGT27M  ","Turkey","1650613379","1650613379","28.1146","41.7845","10363.2","False","205.29","293.48","0","","10561.32","3235","False","0","0"
"4bb872","PGT2491 ","Turkey","1650613378","1650613378","29.0242","40.7621","1379.22","False","118.91","354.29","-4.88","","1470.66","","False","0","0"
"4bb870","PGT88F  ","Turkey","1650613379","1650613379","29.3408","40.4733","3375.66","False","162.89","320.12","-14.31","","3512.82","","False","0","0"
"4bb879","PGT396  ","Turkey","1650613379","1650613379","26.8974","42.6519","11582.4","False","205.54","314.49","0.33","","11734.8","4553","False","0","0"
"4bb874","PGT2663 ","Turkey","1650613379","1650613379","29.5346","40.2786","4267.2","False","148.86","316.82","0.33","","4427.22","","False","0","0"
"4bb86d","PGT13D  ","Turkey","1650613379","1650613379","32.6213","40.0967","10972.8","False","201.91","280.42","0","","11178.54","","False","0","0"
"0100a3","MSR538  ","Egypt","1650613379","1650613379","26.1766","36.8353","11582.4","False","229.33","329.98","0","","11856.72","","False","0","1"
"3c66e8","DLH03C  ","Germany","1650613378","1650613378","26.9246","36.8222","7498.08","False","208.96","312.81","7.15","","7764.78","","False","0","0"
"4b906c","PGT40V  ","Turkey","1650613202","1650613202","31.8157","39.7736","6850.38","False","211.8","67.73","-23.41","","9067.8","","False","0","4"
"3c66b8","OCN21T  ","Germany","1650613378","1650613378","25.151","38.518","10972.8","False","221.27","320.94","0","","11216.64","2044","False","0","4"
"4b9068","PGT33A  ","Turkey","1650613379","1650613379","25.7417","38.8432","9502.14","False","225.07","317.78","9.75","","9745.98","3236","False","0","4"
"4b9067","PGT1870 ","Turkey","1650613373","1650613373","33.5135","35.1513","","True","8.75","112.5","","","","","False","0","4"
"155bd7","SDM6729 ","Russian Federation","1650613379","1650613379","30.5406","41.736","7581.9","False","191.29","253.76","-7.48","","7810.5","","False","0","1"
"155bf8","AZO669  ","Russian Federation","1650613378","1650613379","30.1501","41.7744","5913.12","False","173.44","283.38","-8.78","","6088.38","","False","0","4"
"4a1a61","RCR2082 ","Romania","1650613358","1650613375","32.0789","42.6425","11277.6","False","272.53","94.66","0","","11384.28","0113","False","0","0"
"4ba467","TCICG   ","Turkey","1650613379","1650613379","25.1998","42.67","12192","False","222.6","292.42","0.65","","12329.16","2303","False","0","0"
