"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"5140b0","IGT0373 ","Georgia","1654025190","1654025191","33.7854","41.908","12192","False","217.13","268.91","0","","12542.52","","False","0","0"
"40766d","EXS46TE ","United Kingdom","1654025307","1654025307","25.334","40.0668","11277.6","False","230.02","148.44","-0.33","","11643.36","2012","False","0","0"
"4ba9ce","THY3NZ  ","Turkey","1654025307","1654025307","27.4355","42.9998","12496.8","False","233.65","140.81","0.33","","12832.08","7621","False","0","1"
"4ba9cb","THY15HE ","Turkey","1654025305","1654025305","28.7581","41.1898","495.3","False","75.63","359.22","-3.58","","594.36","5154","False","0","1"
"4bcc66","THY6JT  ","Turkey","1654025304","1654025306","29.0151","40.7613","1234.44","False","112.21","12.44","-2.6","","1333.5","","False","0","1"
"4bcc50","THY9SL  ","Turkey","1654025307","1654025307","31.0216","39.3236","10157.46","False","242.84","52.4","-9.75","","10591.8","0723","False","0","1"
"406471","TOM314  ","United Kingdom","1654025307","1654025307","26.8064","39.8379","11277.6","False","229.18","135.55","0","","11635.74","4614","False","0","1"
"4b8dee","CAI9Q   ","Turkey","1654025306","1654025307","29.3658","38.2797","10515.6","False","227.46","151.35","-4.88","","10896.6","7626","False","0","0"
"346317","NVD8706 ","Spain","1654025300","1654025306","27.0232","35.8983","10721.34","False","234.45","334.11","3.25","","11094.72","6442","False","0","0"
"507c4c","UZB274  ","Uzbekistan","1654025307","1654025307","28.9317","41.014","5654.04","False","212.04","130.38","14.96","","5905.5","","False","0","6"
"4ba9ac","THY3130 ","Turkey","1654025307","1654025307","27.5558","42.0963","11582.4","False","224.97","308.13","0.33","","11917.68","2672","False","0","1"
"4ba9c8","THY5XS  ","Turkey","1654025307","1654025307","28.5527","40.9605","1775.46","False","131.44","93.59","-3.9","","1912.62","1233","False","0","0"
"4ba9c1","THY1YP  ","Turkey","1654025307","1654025307","27.2158","43.6278","11277.6","False","244.26","142.96","0","","11620.5","5564","False","0","1"
"4b8e45","PGT8043 ","Turkey","1654024597","1654025085","32.7824","39.6893","3680.46","False","145.62","35.66","-6.18","","3947.16","","False","0","0"
"4ba8f5","THY3AJ  ","Turkey","1654025209","1654025209","29.2742","40.8856","190.5","False","68.59","65.16","-3.58","","274.32","","False","0","1"
